STA_SEQ,NAME,YLAT,XLONG,SDATE,SYEAR,BCG,YCNT,MINYEAR,MAXYEAR
14446,Scantic River,41.8941,-72.5723,1998-10-22,1998,4.473684211,4,1995,2010
14147,Broad Brook,41.9147,-72.549,1998-10-22,1998,5,7,1993,2014
14436,Salmon Brook,41.7191,-72.602,1998-10-23,1998,4,4,1998,2012
14314,Natchaug River,41.8008,-72.1182,1998-10-23,1998,2,19,1989,2017
14235,Hockanum River,41.7822,-72.5912,1998-10-26,1998,5,6,1992,2010
14238,Hockanum River,41.8758,-72.4743,1998-10-26,1998,5,2,1998,2008
14242,Hockanum River,41.8195,-72.5035,1998-10-26,1998,5,3,1998,2008
14241,Hockanum River,41.8503,-72.4878,1998-10-26,1998,5,6,1998,2012
14469,Tankerhoosen River,41.8201,-72.5033,1998-10-26,1998,5,6,1998,2014
14244,Hockanum River,41.7883,-72.5503,1998-10-26,1998,5,2,1993,1998
14441,Salmon River,41.5742,-72.4294,1998-10-27,1998,2.371794872,24,1991,2018
14137,Blackledge River,41.6084,-72.4263,1998-10-27,1998,2.25,3,1998,2012
14260,Jeremy River,41.5799,-72.4028,1998-10-27,1998,3,3,1998,2012
14400,Pocotopaug Creek,41.565,-72.5069,1998-10-28,1998,4.833333333,4,1994,2012
14396,Pine Brook,41.5079,-72.4952,1998-10-28,1998,2,3,1998,2012
14433,Roaring Brook,41.665,-72.6045,1998-10-28,1998,3,3,1998,2012
14187,Eightmile River,41.4312,-72.3376,1998-10-29,1998,2.282608696,3,1998,2012
14174,East Branch Eightmile River,41.4309,-72.3375,1998-10-29,1998,2.763157895,4,1998,2014
14377,Pattaconk Brook,41.3991,-72.4651,1998-10-29,1998,3,3,1998,2012
14409,Pootatuck River,41.4162,-73.2824,1998-11-04,1998,3.5,6,1997,2016
14406,Pootatuck River,41.4064,-73.272,1998-11-04,1998,3.506550218,2,1995,1998
14408,Pootatuck River,41.4144,-73.2825,1998-11-04,1998,3,3,1995,1998
14407,Pootatuck River,41.4142,-73.2823,1998-11-04,1998,3,3,1995,1998
14437,Salmon Brook,41.7167,-72.5851,1998-11-09,1998,4,1,1998,1998
14597,Myron Kinney  Brook,41.5533,-71.8619,1999-10-06,1999,2.5,1,1999,1999
14601,Broad Brook,41.5632,-71.9834,1999-10-06,1999,3,4,1999,2014
14596,Pachaug River,41.604,-71.9852,1999-10-06,1999,5,1,1999,1999
